sym	enstxids	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
NR2F2	ENST00000394166	50.78	44.96	44.35	47.27	33.95	29.29	50.93	49.8	53.62	52.57	44.06	21.29
NRAS	ENST00000369535	28.42	25.82	27.8	36.67	15.92	25.15	42.71	28.34	22.26	27.02	15.56	31.37
NRG1	ENST00000338921	17.87	18.04	16.01	10.52	21.56	12.52	16.46	26.24	15.91	10.4	36.08	16.6
NRGN	ENST00000526916	5.55	2.39	3.47	5.87	1.0	4.32	6.99	7.98	11.58	20.48	2.2	20.21
NRIP3	ENST00000309166	14.88	13.65	15.39	51.0	24.72	11.62	24.8	28.07	18.8	44.27	42.87	18.03
NRM	ENST00000259953	24.09	11.21	16.21	18.16	1.66	14.75	49.76	19.74	39.24	26.73	2.2	27.52
NRP1	ENST00000374867	97.24	76.56	133.67	132.49	66.71	120.81	222.82	154.32	286.83	261.51	286.84	249.72
NSA2	ENST00000296802	77.66	41.99	70.03	84.12	47.76	47.71	139.79	106.88	69.0	72.47	114.36	131.92
NSDHL	ENST00000370274	16.31	12.69	47.28	32.08	26.52	18.6	31.95	31.91	120.46	66.24	77.87	43.83
NSMCE4A	ENST00000369023	18.19	10.21	14.29	14.92	3.68	15.83	20.83	13.45	18.32	13.01	2.85	11.24
NT5C	ENST00000245552	24.41	22.9	21.23	21.09	8.9	29.45	43.36	30.98	37.51	36.18	4.59	22.26
NT5C3L	ENST00000393911	40.93	29.33	40.7	52.66	71.76	86.84	16.34	8.26	7.31	14.66	13.24	21.76
NT5DC2	ENST00000422318	104.16	83.82	87.99	78.13	37.21	86.28	37.13	41.91	43.84	45.59	9.92	23.46
NT5E	ENST00000257770	142.8	151.32	175.26	272.83	391.04	347.03	221.18	248.48	276.19	464.58	1196.84	621.98
NTN4	ENST00000343702	35.51	22.59	35.94	6.92	32.09	8.07	45.61	26.53	45.48	5.85	66.76	8.16
NTNG1	ENST00000370068	4.53	2.83	7.64	6.36	6.27	9.03	7.12	1.98	5.53	7.03	9.39	6.11
NTSR1	ENST00000370501	9.34	4.9	25.98	14.6	1.77	25.95	8.39	2.55	38.58	20.91	2.01	18.61
NUAK2	ENST00000367157	5.45	4.64	2.12	2.02	3.12	10.7	3.73	4.78	2.36	1.86	2.95	9.14
NUBP2	ENST00000262302	28.51	26.65	24.13	29.17	32.49	41.8	33.41	20.69	28.24	30.56	11.61	20.45
NUCKS1	ENST00000367142	85.71	85.41	66.99	56.11	30.78	66.75	336.01	315.15	212.88	250.61	93.35	388.11
NUDCD2	ENST00000302764	19.0	13.13	20.71	21.26	12.74	18.44	35.16	38.69	29.88	18.72	22.38	40.25
NUDT15	ENST00000258662	18.06	13.91	11.27	18.44	7.31	14.36	29.39	37.64	20.61	13.19	14.23	35.64
