sym	enstxids	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
RTN2	ENST00000245923	4.24	7.42	7.95	2.99	5.43	5.24	1.0	8.62	2.85	1.0	4.14	2.97
RTN3	ENST00000377819	36.8	33.91	41.46	33.07	50.72	29.68	18.38	30.76	27.84	25.66	70.08	31.63
RTN4	ENST00000337526	174.53	253.69	197.87	178.71	480.33	172.86	199.49	276.17	288.12	221.39	786.09	192.79
RTN4IP1	ENST00000369063	6.69	5.57	4.59	7.94	4.28	5.9	3.11	4.16	2.88	1.97	3.94	6.23
RUFY1	ENST00000319449	21.31	20.03	20.8	19.29	18.92	16.29	34.48	22.44	28.35	19.67	23.46	20.04
RUFY2	ENST00000388768	4.57	4.62	4.82	4.72	4.51	4.39	10.1	10.05	8.34	10.26	9.3	7.92
RUFY3	ENST00000381006	3.23	6.27	3.93	3.64	3.71	4.72	2.03	6.17	5.06	8.18	4.95	6.9
RUNDC1	ENST00000361677	7.9	7.74	7.25	8.63	11.43	10.29	15.85	9.72	12.18	10.0	13.69	12.83
RUNDC2A	ENST00000268271	4.3	5.65	8.01	3.96	3.49	5.1	10.51	19.23	30.8	11.57	9.25	15.64
RUNX1	ENST00000300305	13.61	14.24	12.22	11.43	6.29	9.97	16.68	11.4	13.1	9.74	8.07	8.24
RUNX1T1	ENST00000436581	5.68	3.25	5.98	4.09	1.61	3.44	6.49	4.8	7.1	6.52	1.93	7.08
RUSC1	ENST00000368352	11.98	11.39	9.16	9.91	6.73	13.57	7.7	7.36	5.87	6.61	3.95	7.63
RUSC2	ENST00000455600	13.2	16.74	10.83	13.8	19.28	17.21	5.77	7.48	6.87	7.03	7.97	6.89
RUVBL1	ENST00000322623	63.41	44.23	43.12	65.61	40.39	47.09	135.46	70.81	77.82	94.13	61.64	79.59
RUVBL2	ENST00000221413	156.73	75.63	96.25	139.63	91.55	95.46	273.92	92.43	157.45	189.98	104.3	113.03
RWDD1	ENST00000466444	13.98	9.71	10.54	12.37	11.21	7.86	30.04	50.7	29.22	48.7	28.98	38.39
RWDD2A	ENST00000369724	3.59	5.72	5.0	4.53	11.97	8.14	2.48	5.13	6.72	3.62	14.34	12.26
RWDD2B	ENST00000493196	8.04	9.98	7.2	9.25	8.24	8.61	3.27	11.52	2.97	2.44	7.79	9.81
RWDD3	ENST00000370202	4.88	3.6	5.69	5.76	4.15	5.29	6.11	9.41	6.29	1.67	6.06	9.63
RWDD4	ENST00000326397	10.71	14.58	9.63	12.52	20.28	13.0	24.29	36.96	12.66	16.83	28.21	39.42
RXRA	ENST00000481739	12.6	16.24	13.39	10.9	9.77	27.15	6.27	8.28	6.19	4.46	4.13	10.63
RXRB	ENST00000374685	15.59	15.48	20.52	14.06	13.69	17.46	24.46	15.6	35.22	17.22	11.37	13.35
S100A10	ENST00000368811	79.35	131.77	135.82	97.24	194.96	155.82	429.49	637.14	601.42	465.7	623.63	809.37
S100A11	ENST00000271638	567.02	806.68	719.91	785.31	1511.98	787.12	823.56	2422.11	1045.04	940.58	2943.79	1920.3
S100A3	ENST00000368713	3.24	4.82	3.18	4.12	2.27	5.76	7.17	10.46	8.31	5.47	2.56	13.04
S100A4	ENST00000368716	600.3	733.48	1069.31	688.58	494.85	980.74	2342.7	3160.64	3746.59	2004.15	1118.23	3355.75
S100PBP	ENST00000373475	7.92	6.16	6.9	7.14	4.27	6.44	3.1	7.83	5.81	4.5	6.09	10.08
S1PR3	ENST00000375846	6.55	16.01	5.52	5.61	4.51	14.84	3.97	7.17	5.61	2.94	4.74	8.57
SAAL1	ENST00000529318	18.0	8.73	12.84	20.13	8.2	13.74	17.89	11.6	13.5	20.47	10.57	15.17
SACM1L	ENST00000389061	16.94	18.73	17.34	18.31	18.57	14.8	25.52	29.37	25.6	28.18	40.46	25.84
SACS	ENST00000382298	14.78	11.41	18.68	17.47	8.05	10.13	4.62	5.18	5.51	5.91	4.9	9.44
SAE1	ENST00000270225	120.51	88.54	95.06	108.81	64.71	88.98	181.41	148.34	107.94	109.82	71.57	121.85
SAFB	ENST00000292123	44.27	25.02	33.09	41.14	13.35	34.94	90.15	49.15	85.04	91.24	26.95	70.12
SAFB2	ENST00000252542	28.73	14.81	23.35	28.44	11.73	21.89	51.66	20.65	53.92	66.2	18.23	28.34
SALL1	ENST00000251020	11.88	9.15	8.62	12.39	3.63	16.39	4.9	4.5	3.69	4.67	1.95	6.09
SALL2	ENST00000327430	1.0	1.0	1.0	1.0	1.0	1.03	1.0	1.4	1.0	1.0	1.0	1.93
SAMD4B	ENST00000314471	28.37	24.45	34.06	33.74	25.69	30.52	7.35	9.28	14.41	9.07	8.76	8.84
SAMD8	ENST00000372690	7.0	10.2	9.18	9.8	19.64	8.65	10.73	21.37	16.04	14.09	53.0	19.28
SAMHD1	ENST00000262878	11.51	8.63	19.46	13.09	19.33	16.53	19.28	17.18	25.59	9.52	35.54	26.74
SAMM50	ENST00000350028	42.81	33.36	35.79	53.92	48.45	42.15	57.55	40.15	36.9	62.08	66.84	54.75
SAP130	ENST00000357702	17.52	12.81	11.8	16.46	9.17	14.97	12.11	10.79	9.04	9.06	8.85	12.35
SAP18	ENST00000382533	48.81	45.59	48.73	58.64	82.7	51.94	305.81	318.86	212.49	274.77	381.91	339.91
SAP30	ENST00000296504	9.54	8.07	6.98	8.14	6.38	7.57	25.19	22.39	16.62	13.13	11.8	20.23
SAP30BP	ENST00000355423	28.63	22.36	26.92	31.8	28.19	36.91	53.9	66.41	43.45	51.28	57.96	98.94
SAP30L	ENST00000297109	7.61	8.15	9.94	7.24	6.07	7.22	12.97	8.7	18.7	7.28	3.47	4.19
SAR1A	ENST00000373238	48.66	56.6	60.26	54.71	99.98	46.48	228.1	245.5	193.7	187.0	561.08	217.81
SAR1B	ENST00000402673	10.87	13.14	11.01	11.5	16.65	11.92	141.34	137.75	101.61	157.0	295.03	142.53
SARM1	ENST00000457710	1.43	2.09	1.63	1.25	1.0	1.88	5.45	3.15	4.47	3.4	1.0	2.76
SARS	ENST00000369923	129.47	94.84	167.98	129.01	132.61	74.65	206.16	147.81	220.14	166.96	160.33	119.86
SART1	ENST00000312397	52.06	23.35	35.04	47.48	17.27	34.6	119.8	36.4	78.51	80.8	24.02	53.55
SART3	ENST00000228284	22.67	19.43	17.23	20.74	11.85	24.1	33.58	24.01	22.35	28.65	11.66	30.83
SASH1	ENST00000367467	19.26	17.0	28.75	24.29	10.71	21.89	28.65	20.49	40.36	34.33	13.0	29.76
SASS6	ENST00000287482	4.75	2.56	2.84	3.93	1.0	2.91	5.98	6.71	2.51	6.11	2.16	5.62
SAT2	ENST00000380466	13.47	21.76	15.52	20.88	22.96	24.23	12.64	23.87	15.71	27.23	9.51	30.44
SATB1	ENST00000417717	4.86	3.18	7.68	4.35	2.69	1.34	2.37	1.0	2.91	2.8	1.0	1.0
SATB2	ENST00000417098	5.65	2.42	5.79	5.74	1.55	2.84	5.8	1.85	5.52	5.85	1.34	2.76
SBF2	ENST00000256190	10.14	8.99	11.98	8.25	4.15	8.45	2.68	3.33	3.27	1.69	1.38	4.5
SBSN	ENST00000452271	1.21	3.29	1.33	1.76	1.0	1.62	2.94	8.21	6.3	8.78	1.0	3.42
SCAF1	ENST00000360565	44.16	32.55	28.66	39.89	41.55	46.41	29.76	30.04	28.47	29.02	23.44	36.54
SCAF4	ENST00000286835	18.84	11.3	12.72	16.32	8.55	16.35	17.65	14.58	14.22	18.57	13.05	19.15
SCAF8	ENST00000367186	17.9	16.22	16.04	16.42	10.54	16.15	14.05	19.25	17.31	18.35	16.7	22.55
SCAI	ENST00000373549	1.91	2.31	1.8	1.72	2.18	1.82	2.29	3.39	3.03	1.86	3.45	3.38
SCAMP2	ENST00000268099	36.95	34.81	49.98	34.91	50.98	29.25	57.54	57.63	119.89	68.81	97.39	37.09
SCAMP3	ENST00000302631	70.88	61.33	80.12	81.43	121.97	86.42	56.76	64.27	67.41	66.37	126.74	82.73
SCAMP4	ENST00000316097	26.35	30.42	24.73	27.5	72.39	20.82	83.66	74.67	75.37	124.44	161.02	44.19
SCAP	ENST00000265565	23.18	20.42	21.42	20.77	23.89	29.16	8.6	5.65	9.24	8.94	8.24	8.27
SCAPER	ENST00000324767	2.53	3.18	2.91	2.35	2.2	2.76	2.16	2.46	2.37	2.83	2.15	2.36
SCARB2	ENST00000264896	30.96	66.0	38.96	30.81	51.96	53.56	86.9	145.75	104.71	105.65	223.48	138.1
SCCPDH	ENST00000366510	20.08	19.71	21.74	19.56	13.5	19.11	38.79	42.42	46.79	41.91	34.44	37.87
SCFD1	ENST00000458591	30.13	24.77	30.17	37.39	41.86	22.21	32.83	33.73	25.82	33.49	60.98	28.18
SCFD2	ENST00000401642	15.8	16.55	25.75	23.78	12.84	14.35	21.68	24.22	36.17	33.31	20.6	25.56
SCG2	ENST00000305409	1.0	1.0	1.33	1.0	1.84	2.32	3.53	1.41	2.18	1.9	6.05	7.88
SCIN	ENST00000297029	7.42	1.0	5.79	7.54	1.49	1.0	18.43	1.02	10.17	12.16	3.08	1.0
SCLT1	ENST00000281142	4.85	4.76	3.22	3.92	1.4	4.46	5.08	6.83	4.43	2.43	3.15	9.19
SCLY	ENST00000254663	6.49	3.86	4.55	6.81	4.15	4.81	7.85	4.38	3.7	9.09	2.23	4.51
SCML1	ENST00000380041	8.75	7.1	11.56	7.65	4.48	6.55	6.8	9.41	9.09	7.44	3.69	6.77
SCN2A	ENST00000357398	1.0	1.1	1.73	1.04	1.0	1.0	1.0	1.0	1.69	1.0	1.71	1.0
SCN8A	ENST00000354534	8.15	6.22	9.2	6.24	4.47	4.48	3.52	1.79	4.08	4.96	3.09	1.67
SCO1	ENST00000255390	19.63	23.95	15.05	24.92	32.03	27.39	55.88	50.77	35.71	60.78	61.8	46.96
SCP2	ENST00000371514	32.92	35.41	39.87	37.43	44.04	20.95	65.41	90.57	66.88	48.06	82.02	49.43
SCPEP1	ENST00000262288	17.38	15.81	26.65	23.94	28.8	27.6	55.68	37.06	76.79	75.13	90.13	52.34
SCRN1	ENST00000434476	64.25	67.81	72.23	75.52	90.01	64.82	125.84	88.22	124.5	113.77	119.58	102.7
SCRN2	ENST00000290216	8.01	11.19	11.94	7.37	9.32	16.58	15.26	12.07	20.71	12.18	7.89	14.99
SCRN3	ENST00000272732	5.65	7.89	5.9	6.66	12.21	6.03	7.51	6.51	7.72	6.17	20.46	9.08
SCYL1	ENST00000270176	51.87	53.12	60.01	56.79	61.92	49.73	41.69	32.98	45.73	39.17	27.87	29.6
SCYL2	ENST00000360820	12.94	16.14	16.44	14.18	16.21	14.3	10.4	12.0	7.33	12.3	21.63	9.81
SCYL3	ENST00000367772	1.92	2.31	2.14	2.46	2.52	2.87	3.32	4.05	2.31	2.85	3.47	4.26
SDAD1	ENST00000356260	13.48	18.11	13.18	16.98	18.44	25.28	15.01	27.43	13.08	17.11	33.23	48.58
SDC1	ENST00000381150	45.78	39.92	36.24	39.22	26.26	37.45	159.98	83.93	183.5	229.09	68.86	81.19
SDC2	ENST00000302190	5.54	18.03	5.15	4.24	13.97	9.45	30.1	111.2	38.09	33.97	90.52	62.44
SDCBP	ENST00000523483	44.42	42.14	60.19	66.12	82.73	50.69	162.52	164.41	170.22	166.5	314.68	180.5
SDF2	ENST00000247020	21.37	33.81	22.9	27.29	81.21	33.03	64.03	94.06	55.15	55.0	269.15	77.19
SDF4	ENST00000360001	116.8	121.1	119.81	106.0	148.58	123.58	222.85	162.65	226.85	217.48	314.21	153.05
SDHA	ENST00000264932	73.92	62.15	68.71	67.81	53.91	73.44	100.1	59.9	97.93	115.61	60.66	86.63
SDHAF2	ENST00000301761	9.6	6.35	10.68	13.14	11.35	9.37	6.68	8.13	9.44	17.04	18.57	12.27
SDHB	ENST00000375499	95.45	53.53	68.98	121.67	105.78	68.81	179.94	90.13	107.92	142.16	114.16	88.82
SDHD	ENST00000375549	52.86	44.21	46.26	58.28	45.2	38.9	100.03	123.11	89.66	112.63	76.61	85.98
SDPR	ENST00000304141	3.09	1.23	3.62	1.95	1.23	1.03	9.61	3.99	12.97	3.8	3.67	3.94
SDR39U1	ENST00000336353	3.26	3.59	4.23	3.05	3.32	3.28	2.7	10.92	2.62	1.05	5.62	3.99
SEC11C	ENST00000299714	27.63	22.78	25.89	38.2	64.92	35.99	48.27	38.46	30.43	38.16	162.61	59.56
SEC13	ENST00000383801	114.28	107.34	122.01	130.7	136.79	93.7	208.23	151.86	225.58	196.86	167.9	112.71
SEC14L1	ENST00000443798	37.62	34.89	29.08	37.42	38.79	49.01	32.18	22.51	24.48	24.95	30.63	37.03
SEC14L2	ENST00000312932	6.29	11.44	8.87	9.53	8.57	6.74	16.11	25.58	22.05	20.3	13.92	13.37
SEC16A	ENST00000313050	19.37	23.3	18.14	17.56	30.15	26.61	15.99	19.83	19.86	22.53	32.86	22.09
SEC22A	ENST00000309934	3.79	4.78	3.77	4.18	6.81	4.52	8.11	15.59	4.55	4.53	23.05	8.21
SEC22C	ENST00000264454	20.26	19.47	18.02	18.66	18.61	16.66	13.78	12.77	8.44	15.05	11.25	10.15
SEC23A	ENST00000307712	70.37	90.12	89.0	70.78	94.49	58.18	68.87	106.03	77.2	53.75	143.99	68.15
SEC23B	ENST00000336714	26.99	27.18	28.37	35.02	41.44	27.33	38.48	38.6	34.46	29.79	56.07	33.92
SEC23IP	ENST00000369075	22.76	22.48	23.24	28.77	20.28	22.02	24.48	29.81	26.02	28.04	35.17	30.22
SEC24A	ENST00000398844	16.99	18.39	19.47	19.91	25.47	16.46	12.55	21.77	16.99	13.92	41.19	21.36
SEC24B	ENST00000504968	10.52	17.08	11.23	11.14	14.08	16.01	3.91	12.96	7.16	8.25	16.46	14.32
SEC24C	ENST00000339365	46.99	38.39	43.95	53.53	49.94	43.4	34.57	28.05	35.84	41.68	44.41	33.44
SEC24D	ENST00000379735	29.67	66.67	43.87	33.83	41.89	43.98	27.17	70.05	43.18	28.87	51.48	41.89
SEC31A	ENST00000505472	49.91	97.26	74.36	64.55	126.7	67.95	47.64	104.2	70.41	53.34	137.76	69.16
SEC61A1	ENST00000464451	226.46	233.29	302.43	234.36	287.12	179.31	374.39	369.14	487.58	427.05	786.56	321.45
SEC61A2	ENST00000298428	5.93	3.63	4.49	6.78	7.02	6.25	4.98	4.07	4.8	12.16	18.89	8.54
SECISBP2	ENST00000375807	6.53	6.71	7.97	8.33	6.08	8.07	4.76	2.55	3.36	2.61	2.71	2.89
SECISBP2L	ENST00000559471	11.81	15.89	14.97	11.91	17.31	11.07	10.19	15.85	11.69	7.24	20.09	13.01
SEH1L	ENST00000399892	36.29	23.5	30.1	36.32	15.55	21.99	43.17	36.1	34.0	34.9	20.19	30.14
SEL1L	ENST00000336735	21.33	25.33	24.25	19.69	28.59	22.67	97.06	89.4	94.56	87.3	153.06	90.3
SELPLG	ENST00000228463	1.09	2.92	1.57	1.69	4.26	1.45	1.0	1.02	1.0	1.0	4.93	1.49
SELRC1	ENST00000371538	18.04	11.65	14.54	23.9	11.65	17.16	30.26	23.0	18.23	32.71	14.74	29.71
SELS	ENST00000398226	21.16	26.79	26.77	22.9	28.3	28.15	239.84	149.63	274.19	201.44	247.23	198.72
SEMA3D	ENST00000284136	2.37	2.58	3.9	1.99	1.0	1.0	10.39	8.54	12.69	6.38	3.35	3.52
SEMA4B	ENST00000411539	4.64	5.96	6.5	5.98	5.74	9.7	6.71	5.62	8.8	12.38	8.71	7.81
SEMA4C	ENST00000305476	7.66	6.06	8.89	6.53	4.72	12.1	6.6	6.28	11.52	12.44	8.13	9.57
SEMA4F	ENST00000357877	4.42	5.46	5.56	4.1	8.54	4.99	2.41	4.91	5.57	5.5	8.95	3.73
SEMA6A	ENST00000257414	1.0	1.0	1.0	1.24	1.68	1.0	1.0	1.0	1.0	1.07	1.49	1.0
SENP1	ENST00000004980	9.4	7.16	7.07	7.38	2.69	6.84	7.36	4.36	2.32	1.64	1.53	5.2
SENP2	ENST00000296257	10.17	8.14	9.26	9.41	9.74	9.06	6.07	7.15	5.9	8.32	9.68	9.83
SENP3	ENST00000429205	36.91	32.96	25.08	41.69	31.25	36.79	16.08	12.15	8.42	8.35	7.61	13.14
SENP5	ENST00000323460	9.12	7.55	8.61	10.44	11.75	8.97	7.45	4.24	5.18	8.27	7.28	5.81
SENP6	ENST00000370014	10.43	9.06	10.99	10.32	7.14	9.57	8.8	8.67	5.58	6.77	8.07	10.3
SENP7	ENST00000394095	3.04	2.03	3.15	2.16	1.0	1.72	4.95	2.31	1.87	3.5	1.13	3.6
SEPHS1	ENST00000327347	24.83	15.98	18.77	18.31	8.36	18.12	42.78	19.88	20.87	33.79	16.81	20.24
SEPHS2	ENST00000478753	22.85	25.25	29.24	29.4	33.8	30.15	13.53	10.43	8.84	9.68	6.05	10.39
SEPN1	ENST00000361547	44.18	44.4	32.68	29.86	23.83	48.67	26.5	29.88	26.23	26.24	16.92	22.06
SEPSECS	ENST00000382103	1.49	1.68	1.59	1.6	1.18	1.87	4.49	2.61	2.6	2.89	2.83	3.39
SEPT10	ENST00000356688	51.95	70.28	65.99	53.02	75.79	40.71	78.25	132.55	87.0	73.91	144.52	83.24
SEPT5	ENST00000455843	4.06	7.48	4.34	2.16	2.19	6.6	6.94	4.61	7.1	4.12	1.99	5.06
SEPT7	ENST00000399034	71.7	83.46	71.2	65.99	66.74	72.19	163.09	238.71	164.0	136.5	195.13	245.05
SEPT8	ENST00000378719	25.71	21.44	23.84	24.46	17.55	20.19	65.74	54.13	57.49	57.29	37.36	57.45
SEPT9	ENST00000427177	147.54	146.43	163.11	152.48	101.21	240.48	106.74	102.4	150.34	138.29	63.78	140.38
SEPX1	ENST00000399753	5.2	18.59	6.36	4.87	11.28	11.76	8.57	18.38	6.88	3.93	5.36	5.86
SERAC1	ENST00000367104	2.61	3.19	2.67	2.13	2.25	1.56	2.4	3.33	2.64	1.02	3.89	1.46
SERGEF	ENST00000265965	5.87	4.05	9.23	4.43	4.8	3.58	2.16	2.43	4.68	2.31	2.9	1.91
SERHL2	ENST00000327678	1.15	2.08	1.69	1.0	2.31	1.53	2.37	3.7	3.38	1.77	3.86	1.01
SERINC1	ENST00000368454	54.23	78.86	82.87	69.38	169.45	67.15	204.69	281.05	253.42	258.32	796.85	301.13
SERINC3	ENST00000342374	50.67	63.66	74.15	59.86	127.71	76.38	68.75	131.32	108.07	110.88	461.21	143.37
SERINC5	ENST00000512721	3.71	5.61	5.39	6.36	2.79	4.71	8.14	11.24	9.38	11.84	12.36	9.45
SERP1	ENST00000491660	51.86	63.78	59.07	62.8	99.61	67.67	72.8	128.35	108.0	134.89	111.88	114.18
SERPINB1	ENST00000380739	10.49	12.32	15.38	10.52	17.75	9.93	29.33	36.51	30.52	21.44	48.65	20.66
SERPINB6	ENST00000380520	33.59	31.65	41.91	34.78	33.5	29.12	120.54	116.46	122.86	97.08	110.46	91.05
SERPINB8	ENST00000397985	22.47	26.15	27.64	31.42	31.11	45.21	50.77	71.42	61.11	71.27	84.77	120.48
SERPINH1	ENST00000524558	136.72	186.56	151.9	105.88	103.14	115.52	610.34	674.24	808.23	557.13	561.94	379.12
SERPINI1	ENST00000295777	1.0	1.0	1.0	1.0	4.25	1.0	1.0	4.96	1.09	1.22	27.36	2.27
SERTAD1	ENST00000357949	13.11	16.66	10.55	20.4	16.56	19.57	22.32	19.45	17.79	32.49	10.27	22.57
SESN1	ENST00000436639	2.49	5.15	3.31	2.02	5.21	2.18	1.44	4.57	2.24	2.02	6.88	1.3
SESTD1	ENST00000428443	2.26	2.34	2.53	2.39	1.09	2.07	7.62	9.54	7.96	7.28	5.53	10.77
SET	ENST00000372692	136.53	122.74	110.52	152.73	80.24	152.89	489.38	706.56	388.22	474.33	334.6	920.77
SETBP1	ENST00000282030	1.84	1.0	2.3	1.69	1.0	1.0	1.0	1.0	1.12	1.36	1.0	1.0
SETD1A	ENST00000262519	12.62	6.89	9.21	9.31	4.35	9.68	6.01	3.55	6.18	7.58	1.82	5.14
SETD1B	ENST00000267197	8.81	6.18	6.85	6.85	4.0	8.14	2.61	2.45	3.92	4.87	1.88	3.54
SETD2	ENST00000451092	13.7	11.92	11.49	10.78	5.61	12.48	5.32	7.7	6.58	8.4	5.75	9.53
SETD3	ENST00000331768	31.8	24.29	21.52	28.87	27.98	28.23	25.97	27.81	17.84	21.0	29.13	26.74
SETD4	ENST00000399215	3.02	2.53	2.34	3.25	2.93	3.0	6.16	6.05	3.83	4.93	6.51	5.31
SETD5	ENST00000407969	23.22	16.68	23.28	20.15	11.45	20.36	4.76	4.38	5.38	6.79	2.48	3.95
SETD6	ENST00000219315	5.05	3.61	4.46	5.72	2.8	4.84	6.98	3.48	8.23	7.65	1.65	2.36
SETD8	ENST00000402868	31.84	27.77	25.68	24.42	16.02	27.35	46.81	45.9	36.43	51.21	20.85	41.46
SETDB1	ENST00000271640	8.22	6.94	7.93	7.62	5.16	7.21	8.43	7.21	6.18	6.61	5.5	8.32
SETDB2	ENST00000317257	3.19	3.89	3.79	4.05	3.2	4.64	1.67	1.15	1.0	1.71	1.45	1.92
SETMAR	ENST00000358065	2.38	7.84	1.64	1.96	4.41	6.01	1.34	2.05	1.53	1.47	1.02	2.21
SETX	ENST00000372169	6.86	14.44	11.0	7.38	9.33	11.64	4.9	9.75	6.13	3.92	9.13	10.31
SEZ6L2	ENST00000308713	1.82	5.2	3.23	1.34	5.72	7.7	4.05	8.2	10.98	2.7	14.06	11.04
SF1	ENST00000377387	104.03	68.98	65.89	85.48	49.92	80.71	112.84	86.67	88.7	88.82	65.7	89.81
SF3A1	ENST00000215793	84.0	40.95	50.46	76.29	30.91	53.34	127.29	86.16	99.79	134.56	61.97	103.62
SF3A2	ENST00000221494	58.95	26.49	33.78	40.17	13.13	22.81	72.13	27.75	59.86	62.15	13.84	20.83
SF3A3	ENST00000373019	51.0	32.21	38.37	56.74	24.34	34.88	235.34	126.99	119.84	177.71	88.15	151.96
SF3B1	ENST00000335508	80.28	71.99	81.82	84.97	78.55	85.79	103.12	79.45	81.2	84.48	137.01	118.28
SF3B2	ENST00000322535	153.07	101.3	129.34	150.24	80.01	113.98	298.55	189.24	275.28	320.37	125.88	235.11
SF3B3	ENST00000302516	57.69	39.06	46.65	49.14	21.83	49.23	99.66	65.09	80.58	67.02	47.11	88.13
SFI1	ENST00000400288	5.32	4.32	4.94	4.79	2.25	5.27	4.08	1.0	3.12	1.71	1.0	1.5
SFMBT1	ENST00000394752	3.63	1.96	2.1	2.58	1.0	2.01	2.69	1.68	1.7	3.28	1.0	1.01
SFPQ	ENST00000357214	134.71	67.05	89.58	111.22	32.1	101.78	348.84	158.7	244.8	325.3	86.77	238.61
SFSWAP	ENST00000541286	20.12	12.09	14.46	16.85	9.04	14.08	15.25	9.47	9.83	14.45	7.1	10.34
SFT2D1	ENST00000361731	31.05	30.68	36.93	36.5	45.91	33.82	61.18	63.68	68.35	87.87	76.61	58.54
SFT2D2	ENST00000271375	13.74	15.34	13.08	11.33	14.32	10.62	73.65	135.0	57.36	47.82	117.35	86.77
SFXN1	ENST00000321442	24.81	22.17	18.52	29.25	21.0	31.4	38.5	44.91	33.45	40.25	40.46	64.01
SFXN4	ENST00000355697	11.53	5.47	10.43	15.25	11.85	9.63	13.19	5.17	7.04	7.26	15.86	9.68
SGCB	ENST00000381431	22.79	33.02	29.3	22.96	41.27	24.99	96.83	110.41	99.15	88.67	210.03	95.67
SGCE	ENST00000415788	17.35	16.25	24.95	15.1	11.23	16.74	36.28	25.29	47.57	29.91	25.54	24.58
SGIP1	ENST00000237247	4.25	6.1	8.28	4.38	10.25	6.46	2.95	3.72	4.99	5.32	5.09	3.5
SGK1	ENST00000367858	17.91	20.87	15.0	22.02	25.67	13.58	35.61	34.61	23.45	35.04	66.98	18.58
SGK196	ENST00000331373	7.29	7.49	7.42	6.19	5.08	7.7	8.24	9.54	10.15	5.56	7.43	11.83
SGK3	ENST00000262211	1.42	2.56	1.7	1.21	1.74	1.37	3.79	1.66	1.74	1.0	1.4	1.0
SGMS1	ENST00000361781	9.83	8.67	9.66	8.36	6.29	6.13	7.24	3.4	4.21	2.7	5.74	6.04
SGMS2	ENST00000394684	2.97	8.48	4.58	2.76	7.5	3.4	5.05	9.41	4.62	1.83	16.23	6.83
SGPL1	ENST00000373202	6.18	7.37	7.06	6.32	8.25	9.04	6.82	11.94	9.42	7.94	21.14	14.5
SGPP1	ENST00000247225	12.04	10.06	11.82	11.91	12.78	7.02	21.73	16.68	29.88	23.73	36.13	12.34
SGSH	ENST00000326317	18.44	18.02	21.72	16.68	21.48	26.46	19.58	26.14	33.48	23.63	36.58	33.22
SGSM2	ENST00000268989	9.0	9.74	11.26	6.93	7.53	12.92	1.0	1.52	3.7	2.76	1.35	1.8
SGSM3	ENST00000248929	17.37	17.58	18.4	17.66	30.17	23.46	5.94	7.5	8.83	7.51	6.96	5.85
SGTA	ENST00000221566	48.82	40.34	34.15	51.91	50.64	37.58	77.54	59.95	63.74	73.56	61.37	43.3
SGTB	ENST00000381007	6.66	7.24	7.26	8.43	11.17	5.87	18.57	20.68	18.34	19.39	45.89	19.63
SH2B1	ENST00000322610	12.14	10.13	12.03	11.51	9.39	13.68	2.94	1.67	4.47	6.19	1.91	2.5
SH2B3	ENST00000341259	49.37	33.93	59.48	69.55	29.71	58.96	8.58	3.62	10.65	15.98	2.97	6.56
SH2D5	ENST00000444387	5.19	4.05	5.98	4.32	4.9	1.69	6.59	1.6	4.81	3.29	1.44	1.0
SH3BP2	ENST00000503393	9.03	6.82	9.57	6.35	3.76	8.54	5.35	5.96	8.58	8.02	1.87	4.08
SH3BP5	ENST00000383791	5.17	7.14	8.13	7.2	5.47	5.7	7.24	9.68	9.92	5.75	3.37	6.42
SH3BP5L	ENST00000366472	14.71	21.85	16.37	21.99	28.15	16.24	9.92	5.3	13.6	12.32	6.62	4.8
SH3D19	ENST00000304527	5.28	13.51	7.35	7.27	9.46	10.43	1.46	8.65	3.43	1.34	6.52	6.06
SH3D21	ENST00000453908	4.15	2.62	4.32	2.25	2.21	3.04	1.0	1.0	2.58	2.65	1.0	1.34
SH3GL1	ENST00000269886	85.36	76.65	98.31	91.71	60.76	81.61	140.53	106.89	166.69	133.36	56.94	97.13
SH3GLB1	ENST00000482504	56.73	58.35	62.41	74.91	96.05	51.26	81.81	89.26	79.66	94.86	122.35	66.14
SH3GLB2	ENST00000543311	16.32	19.73	18.88	13.65	27.58	19.66	24.8	21.56	24.49	17.91	20.82	16.62
SH3TC1	ENST00000245105	1.0	1.0	1.99	1.31	1.0	1.61	1.0	1.0	1.41	1.0	1.0	1.0
SH3TC2	ENST00000515425	2.78	4.47	4.52	3.31	5.74	4.48	1.0	1.28	2.11	2.12	2.02	1.73
SHARPIN	ENST00000398712	26.2	21.72	24.75	24.87	25.13	21.48	19.78	14.38	18.51	20.56	12.1	12.0
SHB	ENST00000377707	12.73	13.4	9.55	12.27	10.95	29.06	7.08	4.85	5.38	4.92	4.09	6.57
SHC1	ENST00000448116	123.87	173.92	134.0	141.67	334.94	171.51	37.62	52.08	45.63	38.82	50.77	42.3
SHKBP1	ENST00000291842	35.91	26.32	39.91	35.3	21.64	25.43	17.8	13.5	20.1	19.31	6.18	9.55
SHMT1	ENST00000316694	6.35	4.4	5.95	6.13	1.53	4.4	16.94	8.32	15.44	11.18	2.16	10.12
SHMT2	ENST00000328923	96.02	56.49	110.78	85.87	54.82	62.4	169.0	82.43	148.85	139.76	51.42	94.0
SHOC2	ENST00000369452	15.1	14.94	15.77	13.86	15.51	12.02	4.79	7.41	4.76	5.26	8.35	6.98
