,biocarta,chr,cluster length max,cluster length mean,cluster length median,cluster length min,clusters,cp,go,kegg,mir,modularity data/full-new/net_exp_final.txt,modularity data/full-new/net_mirna_final.txt,modularity data/full-new/net_ppi_unique_nodes_int.txt,modularity data/full-new/net_tf_final.txt,reactome
data/full-new/multi_cluster/clusters_a_0980_phi_4000.txt,0.0869565217391,0.130434782609,3337,467.608695652,24.0,2,23,0.434782608696,0.826086956522,0.173913043478,0.217391304348,0.00978540981223,-0.0653881330685,0.0327181434518,-0.00137422931156,0.391304347826
data/full-new/multi_cluster/clusters_a_0980_phi_0500.txt,0.105263157895,0.157894736842,3337,566.105263158,97.0,2,19,0.421052631579,0.842105263158,0.210526315789,0.210526315789,0.00975501385018,-0.0649686610066,0.0326083652151,-0.0015456464541,0.368421052632
data/full-new/multi_cluster/clusters_a_0990_phi_0250.txt,0.0588235294118,0.235294117647,3428,316.205882353,30.5,2,34,0.470588235294,0.941176470588,0.323529411765,0.264705882353,0.00941619193772,-0.0576249350932,0.03196933608,-0.000388798166963,0.352941176471
data/full-new/multi_cluster/clusters_a_0950_phi_0600.txt,0.0526315789474,0.157894736842,3082,566.052631579,74.0,2,19,0.368421052632,0.894736842105,0.210526315789,0.105263157895,0.00948864027973,-0.0729718606436,0.0323918701386,-0.000826919137139,0.368421052632
data/full-new/multi_cluster/clusters_a_0990_phi_0500.txt,0.0882352941176,0.205882352941,3428,316.205882353,30.5,2,34,0.470588235294,0.941176470588,0.294117647059,0.235294117647,0.00941642919527,-0.0576141227554,0.0319728366177,-0.000402071095692,0.352941176471
data/full-new/biCl_red-new_sparse_alt2_c900_BiClustering_tp.csv,0.051724137931,0.0716180371353,27,8.6949602122,7.0,2,754,0.283819628647,0.805039787798,0.0702917771883,0.229442970822,-0.00188695420204,-0.00538932596724,0.0526278108805,-0.00278603236442,0.193633952255
data/full-new/biCl_red-new_sparse_alt2_c700_BiClustering_tp.csv,0.0942148760331,0.0561983471074,67,17.6247933884,13.0,2,605,0.436363636364,0.867768595041,0.168595041322,0.279338842975,0.0059945221132,-0.00291049221953,0.0352093481376,-0.000982711302456,0.295867768595
data/full-new/biCl_red-new_sparse_alt2_c175_CoClustering_tp.csv,0.0740740740741,0.0740740740741,2160,198.185185185,5.0,2,54,0.296296296296,0.703703703704,0.148148148148,0.12962962963,0.248581567994,0.0153578758164,0.108669549501,0.0476045715601,0.277777777778
data/full-new/slice_out_oslom/consensus/tp,0.156652360515,0.105150214592,174,29.0772532189,23.0,3,466,0.530042918455,0.888412017167,0.343347639485,0.311158798283,0.0970220850674,0.00168528288763,0.158524040139,0.0221968394055,0.412017167382
data/full-new/biCl_red-new_sparse_alt2_c800_CoClustering_tp.csv,0.0873493975904,0.0722891566265,578,31.9246987952,10.0,2,332,0.439759036145,0.78313253012,0.228915662651,0.219879518072,0.0737069355151,0.00173793683534,0.0665283040561,0.0129419276612,0.370481927711
