"","V1","V2"
"388","ACTA1","TRAF3"
"389","ACTA2","CFL1"
"390","ACTA2","DMD"
"391","ACTA2","DNASE1"
"392","ACTA2","GC"
"393","ACTB","BAF53A"
"394","ACTB","CLIC4"
"395","ACTB","CPNE1"
"396","ACTB","CPNE2"
"397","ACTB","CPNE4"
"398","ACTB","CTGF"
"399","ACTB","DNCL1"
"400","ACTB","FLII"
"401","ACTB","GSN"
"402","ACTB","ODC1"
"403","ACTB","P2RX7"
"404","ACTB","PFN1"
"405","ACTB","PLD1"
"406","ACTB","PLD2"
"407","ACTB","PTN"
"408","ACTB","RAC1"
"409","ACTB","RAC2"
"410","ACTB","SLC12A2"
"411","ACTB","SMARCA4"
"412","ACTB","SPTAN1"
"413","ACTB","TCP1"
"414","ACTB","VIL2"
"415","ACTB","XRCC1"
"416","ACTC","ANG"
"417","ACTC","DMD"
"418","ACTC","EPB49"
"419","ACTC","PLEC1"
"420","ACTG1","AMY2B"
"421","ACTG1","ANXA5"
"422","ACTG1","BCAP31"
"423","ACTG1","CTGF"
"424","ACTG1","DNASE1"
"425","ACTG1","DNCL1"
"426","ACTG1","WASF1"
"427","ACTG1","WASL"
"428","ACTL7A","TES"
"429","ACTL7A","ACTL7B"
"430","ACTN1","ACTN2"
"431","ACTN1","DTNA"
"432","ACTN1","DTNB"
"433","ACTN1","DYRK1A"
"434","ACTN1","DYRK1B"
"435","ACTN1","ELP4"
"436","ACTN1","FIGNL1"
"437","ACTN1","FLJ20886"
"438","ACTN1","FLJ33298"
"439","ACTN1","FOXA1"
"440","ACTN1","FOXA2"
"441","ACTN1","FOXA3"
"442","ACTN1","GRAP"
"443","ACTN1","GRSF1"
"444","ACTN1","HNRPF"
"445","ACTN1","HNRPH1"
"446","ACTN1","HNRPH2"
"447","ACTN1","HNRPH3"
"448","ACTN1","LDB3"
"449","ACTN1","LIM"
"450","ACTN1","LOC51295"
"451","ACTN1","PPP1R12A"
"452","ACTN1","PPP1R12B"
"453","ACTN1","PSMA6"
"454","ACTN1","PSMB3"
"455","ACTN1","PSMB5"
"456","ACTN1","PSMB8"
