"","V1","V2"
"545","HRAS","RAF1"
"546","HRAS","SHOC2"
"547","HSP90AA1","IKBKE"
"548","HSP90AA1","MAP3K14"
"549","HSP90AA1","MAP3K3"
"550","HSP90AA1","NR2C2"
"551","HSP90AA1","RIPK1"
"552","HSP90AA1","TBK1"
"553","HSP90AB1","IKBKE"
"554","HSP90AB1","MAP3K14"
"555","HSP90AB1","MAP3K3"
"556","HSP90AB1","NR2C2"
"557","HSP90AB1","TBK1"
"558","HSPB1","NFKBIA"
"559","HTT","RASA1"
"560","ID2","MSC"
"561","ID2","RB1"
"562","Id3","Myod1"
"563","Id3","Myog"
"564","Id3","Tcf12"
"565","ID4","MYOD1"
"566","IHH","PTCH1"
"567","IHH","PTCH2"
"568","IKBKAP","NFKBIA"
"569","INPP5D","KIT"
"570","IQGAP2","NFKBIB"
"571","IQGAP2","RELA"
"572","ITGA6","ITGB4"
"573","ITGA6","RPSA"
"574","ITGB4","MET"
"575","ITGB4","PIK3CA"
"576","ITGB4","PIK3CB"
"577","ITGB4","PIK3CG"
"578","ITGB4","PIK3R2"
"579","ITGB4","PIK3R3"
"580","ITGB4","PLEC"
"581","ITGB4","PTK2"
"582","ITGB4","SHC1"
"583","ITGB4","VIM"
"584","ITGB4","YES1"
"585","ITGB4","YWHAB"
"586","ITGB4","YWHAQ"
"587","JAG2","NOTCH3"
"588","JAK1","STAT1"
"589","JAK1","STAT3"
"590","JAK2","KIT"
"591","JAK2","PTPN12"
"592","JAK2","STAT1"
"593","JAK2","STAT3"
"594","JUNB","SMAD4"
"595","JUND","SMAD4"
"596","JUN","MAPK1"
"597","JUN","MAPK3"
"598","JUN","SMAD4"
"599","JUN","SP1"
"600","JUN","TGIF1"
"601","KAT2B","NOTCH3"
"602","KAT2B","SMAD2"
"603","KCNQ1","TRAF6"
"604","KHDRBS1","PLCG1"
"605","KIT","KITLG"
"606","KIT","LYN"
"607","KIT","MATK"
"608","KIT","PIK3CG"
"609","KIT","PIK3R1"
"610","KIT","PLCE1"
"611","KIT","PLCG1"
"612","Kit","Ptpn6"
"613","KIT","PTPRU"
"614","KIT","RASA1"
"615","KIT","SH3KBP1"
"616","KIT","SOCS1"
"617","KIT","SPRED1"
"618","KIT","SPRED2"
"619","KIT","SRC"
"620","Kit","Stap1"
"621","KIT","STAT1"
"622","KIT","STAT5A"
"623","KIT","STAT5B"
"624","KIT","YES1"
"625","Kit","Vav1"
"626","KPNA2","NFKBIB"
"627","KPNA2","RELB"
"628","KPNA3","NFKB1"
"629","KPNA6","RELB"
"630","KRAS","SHOC2"
"631","Lck","PIK3R2"
"632","LEF1","NLK"
"633","LEF1","SMAD2"
"634","LEF1","SMAD4"
"635","Lef1","Sumo2"
"636","LRP6","WNT1"
"637","LRPPRC","NFKBIB"
"638","MAGEA1","SNW1"
"639","MAML1","NOTCH2"
"640","MAML1","NOTCH4"
"641","MAML3","NOTCH2"
"642","MAML3","NOTCH4"
"643","MAP2K1","MAPK14"
"644","MAP2K1","MAPK3"
"645","MAP2K1","PEBP1"
"646","MAP2K1","RAF1"
"647","MAP2K1","MAPK1"
"648","MAP2K2","MAPK3"
"649","MAP2K6","SMAD7"
"650","MAP2K6","MAPK14"
"651","MAP3K14","NFKB2"
"652","MAP3K14","PEBP1"
"653","MAP3K14","RIPK1"
"654","MAP3K14","RPL4"
"655","MAP3K14","RPL6"
"656","MAP3K14","TRAF2"
"657","MAP3K14","TRAF3"
"658","MAP3K14","TRAF5"
"659","MAP3K14","TRAF6"
"660","MAP3K2","NFKBIA"
"661","MAP3K3","MARK2"
"662","MAP3K3","PFDN2"
"663","MAP3K3","YWHAB"
"664","MAP3K3","YWHAE"
"665","MAP3K3","YWHAG"
"666","MAP3K3","YWHAH"
"667","MAP3K3","YWHAQ"
"668","MAP3K3","YWHAZ"
"669","MAP3K3","NFKBIA"
"670","MAP3K4","RAC1"
"671","MAP3K4","RUNX2"
"672","MAP3K7","SMAD7"
"673","HIPK2","MAP3K7"
"674","MAP3K7","MAPK14"
"675","MAP3K8","NFKB1"
"676","MAP3K8","NFKB2"
"677","MAP3K8","REL"
"678","MAP3K8","RELA"
"679","MAP3K8","TNIP2"
"680","MAPK14","MAPK1"
"681","MAPK14","MAPK3"
"682","MAPK14","SMAD7"
"683","ATF2","MAPK14"
"684","MAPK14","MEF2C"
"685","MAPK1","PEBP1"
"686","MAPK1","RPS6KA1"
"687","MAPK1","TNIP1"
"688","ELK1","MAPK1"
"689","JUND","MAPK1"
"690","MAPK1","KLF11"
"691","MAPK1","SMAD2"
"692","MAPK1","TCF3"
"693","MAPK1","TGIF1"
"694","MAPK3","RPS6KA1"
"695","JUND","MAPK3"
"696","MAPK3","TCF3"
"697","MAPK3","TGIF1"
"698","MAPK7","PTPRR"
"699","MAPK7","GJA1"
"700","MAPK8","MAPK8IP1"
"701","MAPK8","PAX2"
"702","MAPK8IP1","PAX2"
"703","ELK1","MAPK8"
"704","JUN","MAPK8"
"705","JUND","MAPK8"
"706","MCC","NFKBIB"
"707","MCM5","NFKBIA"
"708","MCM7","NFKBIA"
"709","MFNG","NOTCH2"
"710","ITGB4","MMP7"
"711","MST1R","SFN"
"712","MST1R","YWHAB"
"713","MST1R","YWHAE"
"714","MST1R","YWHAH"
"715","MST1R","YWHAQ"
"716","MST1R","YWHAZ"
"717","MTIF2","NFKBIB"
"718","EIF4EBP1","MTOR"
"719","MYC","SMAD2"
"720","NCK1","PKN2"
"721","NCK1","SOS1"
"722","NCK2","PKN2"
"723","NCK2","SOS1"
"724","NCOR1","RBPJ"
"725","NCOR2","NFKBIA"
"726","NCOR2","RBPJ"
"727","NCOR2","RELA"
"728","NCOR2","SNW1"
"729","NCSTN","PSEN1"
"730","NCSTN","PSEN2"
"731","NCSTN","PSENEN"
"732","NCSTN","APP"
"733","JAG2","NCSTN"
"734","Ndufa13","Stat3"
"735","NFKB1","NFKBIA"
"736","NFKB1","RELA"
"737","NFKB1","NFKB2"
"738","NFKB1","NFKBIB"
"739","NFKB1","NFKBIE"
"740","NFKB1","NFKBIZ"
"741","NFKB1","REL"
"742","NFKB1","RELB"
"743","NFKB1","TNIP2"
"744","NFKB1","UNC5CL"
"745","NFKB2","NFKBIA"
"746","NFKB2","NFKBIB"
"747","NFKB2","NFKBIE"
"748","NFKB2","REL"
"749","NFKB2","RELA"
"750","NFKB2","RELB"
"751","NFKB2","RPL6"
"752","NFKB2","TNIP2"
"753","NFKB2","USP2"
"754","NFKBIA","RELA"
"755","NFKBIA","NFKBIB"
"756","NFKBIA","NKIRAS1"
"757","NFKBIA","NKIRAS2"
"758","NFKBIA","REL"
"759","NFKBIA","SKP1"
"760","NFKBIB","NKIRAS1"
"761","NFKBIB","NKIRAS2"
"762","NFKBIB","PDCD2"
"763","NFKBIB","POLR1A"
"764","NFKBIB","POLR1B"
"765","NFKBIB","POLR1D"
"766","NFKBIB","POLR1E"
"767","NFKBIB","POLR2H"
"768","NFKBIB","RASAL2"
"769","NFKBIB","REL"
"770","NFKBIB","RELA"
"771","NFKBIB","SKP1"
"772","NFKBIE","PPP6C"
"773","NFKBIE","REL"
"774","NFKBIE","RELA"
"775","NFKBIE","SKP1"
"776","NFYA","NFYB"
"777","Nfyc","Smad2"
"778","Notch2","Rbpj"
"779","Notch3","Rbpj"
"780","NOTCH3","SNW1"
"781","NR2C2","PEBP1"
"782","NR2C2","TAB1"
"783","NR2C2","TAB2"
"784","NR2C2","TAB3"
"785","NR2C2","TRAF2"
"786","NR2C2","TRAF6"
"787","NRAS","SHOC2"
"788","NSMAF","TNFRSF1A"
"789","NUP153","SMAD2"
"790","NUP214","SMAD2"
"791","NUP214","SMAD4"
"792","PAK1","RAC1"
"793","PAK1","MBP"
"794","PAPOLA","REL"
"795","PATZ1","RNF4"
"796","PEBP1","RAF1"
"797","PEG3","TRAF2"
"798","PIAS3","STAT3"
"799","Lef1","Pias4"
"800","PIK3CA","PIK3CB"
"801","PIK3CA","PIK3CG"
"802","PIK3CA","PIK3R2"
"803","PIK3CA","PIK3R3"
"804","PIK3CB","PIK3CG"
"805","PIK3CB","PIK3R2"
"806","PIK3CB","PIK3R3"
"807","PIK3CG","PIK3R2"
"808","PIK3CG","PIK3R3"
"809","PIK3R1","PIK3R2"
"810","PIK3R2","PIK3R3"
"811","PIK3R2","TGFBR2"
"812","PKN1","TRAF2"
"813","PLD2","PRKCA"
"814","PPP1R13L","RELA"
"815","APC","PPP2CA"
"816","PPP2CA","RELA"
"817","PRKACA","RELA"
"818","PRKAR1B","SMAD4"
"819","PRKAR2A","SMAD4"
"820","ITGB4","PRKCA"
"821","KIT","PRKCA"
"822","DAB2","PRKCB"
"823","KIT","PRKCB"
"824","DAB2","PRKCD"
"825","ITGA6","PRKCD"
"826","ITGB4","PRKCD"
"827","DAB2","PRKCG"
"828","PRKCZ","RELA"
"829","EGFR","PRKD1"
"830","PSEN1","PSEN2"
"831","PSEN1","PSENEN"
"832","PSEN1","APP"
"833","JAG2","PSEN1"
"834","PSEN2","PSENEN"
"835","PSEN2","APP"
"836","JAG2","PSEN2"
"837","PSENEN","APP"
"838","JAG2","PSENEN"
"839","PSMB5","TRAF6"
"840","PSMC1","TRAF6"
"841","PSMC2","TRAF6"
"842","PSMC3","TRAF6"
"843","PSMD12","TRAF6"
"844","PSMD13","TRAF6"
"845","PSMD1","TRAF6"
"846","PSMD3","TRAF6"
"847","PSMD6","TRAF6"
"848","PSMD7","TRAF6"
"849","PTCH1","SMO"
"850","PTCH2","SMO"
"851","PTK2B","SRC"
"852","PTK2B","STAT3"
"853","Ptk2","Tnfrsf1a"
"854","PTPN11","PXN"
"855","RAC1","RUNX2"
"856","RAC1","STAT3"
"857","RAF1","SHOC2"
"858","RALB","RALBP1"
"859","RASA1","SOCS3"
"860","RBL1","TFDP1"
"861","RBL1","SMAD4"
"862","RBL2","TFDP1"
"863","RBPJ","SNW1"
"864","RBPJ","SPEN"
"865","RBX1","SKP1"
"866","RBX1","SKP2"
"867","RBX1","TCF3"
"868","RELA","REL"
"869","RELA","RELB"
"870","RELA","RNF25"
"871","RELA","TNIP2"
"872","RELA","TRIB3"
"873","RELA","UNC5CL"
"874","RELB","SMARCB1"
"875","RELB","SMARCC1"
"876","RELB","SMARCE1"
"877","RELB","USP11"
"878","REL","TNIP2"
"879","RIPK1","TRADD"
"880","RIPK1","TRAF2"
"881","RIPK1","RIPK3"
"882","RIPK1","TNFRSF1A"
"883","RIPK1","ZFAND5"
"884","RIPK2","TRAF1"
"885","RIPK3","TRAF2"
"886","HIST3H3","RPS6KA3"
"887","RPS6KB2","TRAF4"
"888","RUNX2","SMAD2"
"889","RUVBL1","TBP"
"890","SDC2","TGFB1"
"891","SDC2","TGFBR3"
"892","SFRP1","WNT1"
"893","SFRP1","WNT4"
"894","SH3GL3","WASL"
"895","SHC1","SOS1"
"896","SIN3A","TGIF1"
"897","SKI","SMAD2"
"898","SKI","SMAD4"
"899","SKIL","SMAD2"
"900","SKIL","SMAD4"
"901","SKP1","SKP2"
"902","SKP1","TCF3"
"903","SKP2","TCF3"
"904","SMAD2","SMAD4"
"905","SMAD2","SNIP1"
"906","SMAD2","SNW1"
"907","SMAD2","SP1"
"908","SMAD2","STAMBPL1"
"909","SMAD2","STRAP"
"910","SMAD2","TGIF1"
"911","SMAD2","TP53"
"912","SMAD2","TP73"
"913","SMAD2","ZEB1"
"914","SMAD2","ZFYVE9"
"915","SMAD4","SNIP1"
"916","SMAD4","SP1"
"917","SMAD4","Stk11"
