"","V1","V2"
"583","WBP2","PAX8"
"584","KDM5B","PAX9"
"585","SRF","PRRX1"
"586","GTF2I","PRRX1"
"587","MAFG","PRRX1"
"588","MAFF","PRRX1"
"589","REG3A","REG1A"
"590","CTRC","SPINK1"
"591","PLSCR1","SLPI"
"592","PRSS7","SPINK1"
"593","NRSN1","SPINK1"
"594","SMAD5","VPS24"
"595","REG3A","TRHDE"
"596","SMAD5","BCAT1"
"597","SMAD5","PPIL4"
"598","SMAD5","SNRNP70"
"599","NFX1","ELAVL4"
"600","SMAD5","WWP1"
"601","SPG20","ZFYVE9"
"602","PTH1R","PTH"
"603","MEP1A","PTH"
"604","PTH2R","PTH"
"605","PCNA","CCND1"
"606","RB1","CCND1"
"607","SP1","CCND1"
"608","TAF1","CCND1"
"609","AR","CCND1"
"610","IFI27","CCND1"
"611","SERPINC1","SDC2"
"612","CDKN1B","CCND1"
"613","MYBL2","CCND1"
"614","PRKACA","CCND1"
"615","NCOA3","CCND1"
"616","NCOA1","CCND1"
"617","EP300","CCND1"
"618","CDK6","CCND1"
"619","AKAP8","CCND1"
"620","GSK3B","CCND1"
"621","SERPINC1","KLK2"
"622","CCNDBP1","CCND1"
"623","KAT2B","CCND1"
"624","RBX1","CCND1"
"625","THRA","CCND1"
"626","THRB","CCND1"
"627","HDAC3","CCND1"
"628","ORC4L","CCND1"
"629","CUL3","CCND1"
"630","DMTF1","CCND1"
"631","HERC5","CCND1"
"632","SERPINC1","PLG"
"633","MCM10","CCND1"
"634","NPDC1","CCND1"
"635","BMP4","ZFYVE9"
"636","PTH1R","PTHLH"
"637","PTH1R","SLC9A3R1"
"638","PTH1R","SLC9A3R2"
"639","KLK3","PTHLH"
"640","PTHLH","KPNB1"
"641","CLU","PON1"
"642","JUP","DSG3"
"643","ADRA1A","FLNC"
"644","SERPINC1","F2"
"645","CASP3","DSG3"
"646","TAP2","TAP1"
"647","PDIA3","TAP1"
"648","TAPBP","TAP1"
"649","TAP2","TAPBP"
"650","PRKCA","PAM"
"651","KALRN","PAM"
"652","RASSF9","PAM"
"653","UHMK1","PAM"
"654","PIK3R1","NUP85"
"655","VIM","NUP85"
"656","PRKACA","NUP85"
"657","DYNC1LI1","NUP85"
"658","PRKACA","PLIN1"
"659","PRPH2","PRPH"
"660","PEX10","PEX2"
"661","ABCD3","COL6A2"
"662","ABCD3","ABCD1"
"663","CA2","SLC9A1"
"664","ABCD3","PEX19"
"665","ABCD3","ABCD2"
"666","MAPK1","PPARA"
"667","RXRA","PPARA"
"668","NCOR2","PPARA"
"669","NCOR1","PPARA"
"670","DUT","PPARA"
"671","MAPK3","PPARA"
"672","DAP3","PPARA"
"673","NRIP1","PPARA"
"674","NCOA1","PPARA"
"675","EP300","PPARA"
"676","MED1","PPARA"
"677","PPARGC1A","PPARA"
"678","AKAP13","PPARA"
"679","GADD45B","PPARA"
"680","GADD45G","PPARA"
"681","MED24","PPARA"
"682","NR1H3","PPARA"
"683","YWHAB","SLC9A1"
"684","AIP","PPARA"
"685","NRBF2","PPARA"
"686","-","PPARA"
"687","MECR","PPARA"
"688","SCYL2","ZFYVE9"
"689","SLC2A4","ACTN4"
"690","SLC2A4","GAPDH"
"691","SLC2A4","ACOX1"
"692","YWHAZ","PDC"
"693","PRKACA","PDC"
"694","MAP4K4","SLC9A1"
"695","CAMK2A","PDC"
"696","ACP5","GPC4"
"697","GPLD1","ALPP"
"698","PIGK","ALPP"
"699","SLC2A4","PRKAR1A"
"700","PIK3R1","PDGFRB"
"701","PECAM1","PIK3R1"
"702","PIK3R1","PFN1"
"703","PIK3R1","PTPN11"
